ID ,name ,category ,main_category ,currency ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd pledged 
1000002330,The Songs of Adelaide & Abullah,Poetry,Publishing,GBP,9/10/2015 11:36,1000,11/8/2015 12:12,0,failed,0,GB,0
1000004038,Where is Hank?,Narrative Film,Film & Video,USD,26-02-2013 00:20,45000,12/1/2013 0:20,220,failed,3,US,220
1000007540,ToshiCapital Rekordz Needs Help to Complete Album,Music,Music,USD,16-04-2012 04:24,5000,17-03-2012 03:24,1,failed,1,US,1
1000011046,Community Film Project: The Art of Neighborhood Filmmaking,Film & Video,Film & Video,USD,29-08-2015 01:00,19500,4/7/2015 8:35,1283,canceled,14,US,1283
1000014025,Monarch Espresso Bar,Restaurants,Food,USD,1/4/2016 13:38,50000,26-02-2016 13:38,52375,successful,224,US,52375
1000023410,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Food,Food,USD,21-12-2014 18:30,1000,1/12/2014 18:30,1205,successful,16,US,1205
1000030581,Chaser Strips. Our Strips make Shots their B*tch!,Drinks,Food,USD,17-03-2016 19:05,25000,1/2/2016 20:05,453,failed,40,US,453
1000034518,SPIN - Premium Retractable In-Ear Headphones with Mic,Product Design,Design,USD,29-05-2014 18:14,125000,24-04-2014 18:14,8233,canceled,58,US,8233
100004195,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Documentary,Film & Video,USD,10/8/2014 21:55,65000,11/7/2014 21:55,6240.57,canceled,43,US,6240.57
100004721,Of Jesus and Madmen,Nonfiction,Publishing,CAD,9/10/2013 18:19,2500,9/9/2013 18:19,0,failed,0,CA,0
100005484,Lisa Lim New CD!,Indie Rock,Music,USD,8/4/2013 6:42,12500,9/3/2013 6:42,12700,successful,100,US,12700
1000055792,The Cottage Market,Crafts,Crafts,USD,2/10/2014 17:11,5000,2/9/2014 17:11,0,failed,0,US,0
1000056157,G-Spot Place for Gamers to connect with eachother & go pro!,Games,Games,USD,25-03-2016 22:01,200000,9/2/2016 23:01,0,failed,0,US,0
1000064368,Survival Rings,Design,Design,USD,28-02-2015 02:10,2500,29-01-2015 02:10,664,failed,11,US,664
1000064918,The Beard,Comic Books,Comics,USD,8/11/2014 22:27,1500,9/10/2014 22:27,395,failed,16,US,395
1000068480,Notes From London: Above & Below,Art Books,Publishing,USD,10/5/2015 21:20,3000,10/4/2015 21:20,789,failed,20,US,789
1000070642,Mike Corey's Darkness & Light Album,Music,Music,USD,17-08-2012 14:11,250,2/8/2012 14:11,250,successful,7,US,250
1000071625,Boco Tea,Food,Food,USD,2/6/2012 17:24,5000,3/5/2012 17:24,1781,failed,40,US,1781
